,020001.OF,090001.OF,121002.OF,100020.OF,160603.OF,161605.OF,233001.OF,288001.OF
2006-05-09,1.617,1.6464,1.3903,1.8111,1.626,1.467,1.0888,1.2668
2006-05-10,1.627,1.663,1.3853,1.8407,1.657,1.486,1.1052,1.275
2006-05-11,1.639,1.665,1.3905,1.834,1.682,1.485,1.1134,1.2755
2006-05-12,1.7,1.7111,1.4353,1.894,1.746,1.5,1.1331,1.3113
2006-05-15,1.774,1.768,1.5043,1.9548,1.791,1.515,1.1606,1.3444
2006-05-16,1.734,1.7273,1.4731,1.9082,1.748,1.512,1.1429,1.3168
2006-05-17,1.711,1.7127,1.4658,1.8783,1.73,1.515,1.1491,1.3168
2006-05-18,1.706,1.7009,1.4774,1.8877,1.736,1.512,1.1276,1.318
2006-05-19,1.75,1.7239,1.5232,1.9387,1.752,1.528,1.1504,1.3442
2006-05-22,1.713,1.7048,1.4953,1.886,1.715,1.545,1.1495,1.3435
2006-05-23,1.664,1.6694,1.4625,1.8126,1.692,1.53,1.1218,1.3127
2006-05-24,1.669,1.672,1.4695,1.81,1.698,1.513,1.1157,1.3167
2006-05-25,1.677,1.6734,1.4775,1.8243,1.679,1.505,1.13,1.3175
2006-05-26,1.7,1.6949,1.4968,1.8447,1.693,1.512,1.1472,1.3295
2006-05-29,1.747,1.7334,1.5216,1.8928,1.73,1.529,1.1641,1.356
2006-05-30,1.792,1.7594,1.5547,1.9273,1.772,1.541,1.1711,1.3673
2006-05-31,1.786,1.7477,1.5643,1.9247,1.751,1.534,1.1787,1.3534
2006-06-01,1.821,1.7865,1.5973,1.9797,1.758,1.549,1.1956,1.38
2006-06-02,1.794,1.768,1.5727,1.9518,1.726,1.549,1.1738,1.3686
2006-06-05,1.79,1.7599,1.553,1.9538,1.741,1.547,1.1825,1.3733
2006-06-06,1.761,1.7517,1.547,1.9164,1.719,1.546,1.1986,1.364
2006-06-07,1.692,1.6821,1.4967,1.8314,1.675,1.527,1.1339,1.3157
2006-06-08,1.7,1.6805,1.5192,1.8421,1.684,1.522,1.1463,1.3145
2006-06-09,1.692,1.655,1.5319,1.8314,1.663,1.519,1.1133,1.2977
2006-06-12,1.714,1.6779,1.5361,1.8684,1.712,1.516,1.1247,1.307
2006-06-13,1.717,1.6831,1.5377,1.8756,1.715,1.518,1.1223,1.3079
2006-06-14,1.703,1.6738,1.5379,1.8609,1.708,1.5,1.1196,1.2989
2006-06-15,1.709,1.6757,1.5481,1.8698,1.712,1.502,1.1242,1.3019
2006-06-16,1.733,1.7046,1.575,1.9113,1.731,1.526,1.14,1.3248
2006-06-19,1.759,1.7454,1.6067,1.9336,1.747,1.539,1.1529,1.3351
2006-06-20,1.756,1.7575,1.6199,1.9328,1.754,1.54,1.1743,1.3348
2006-06-21,1.749,1.7554,1.6031,1.9263,1.754,1.543,1.1618,1.3343
2006-06-22,1.743,1.7487,1.5967,1.9198,1.748,1.539,1.1716,1.3303
2006-06-23,1.747,1.7579,1.6089,1.9213,1.742,1.541,1.1903,1.3388
2006-06-26,1.761,1.7823,1.6185,1.9354,1.743,1.554,1.2005,1.3549
2006-06-27,1.763,1.7964,1.6155,1.9455,1.75,1.551,1.2138,1.3573
2006-06-28,1.756,1.7875,1.6043,1.9413,1.743,1.556,1.211,1.3508
2006-06-29,1.773,1.8032,1.6159,1.9811,1.782,1.579,1.2213,1.3673
2006-06-30,1.772,1.8017,1.6167,1.9818,1.788,1.585,1.2219,1.3689
2006-07-03,1.769,1.8168,1.6049,1.9987,1.796,1.59,1.2461,1.3842
2006-07-04,1.771,1.8057,1.6128,1.9996,1.803,1.578,1.2303,1.3769
2006-07-05,1.761,1.7983,1.607,1.9865,1.794,1.57,1.2227,1.3682
2006-07-06,1.788,1.8237,1.6359,2.0168,1.818,1.581,1.2469,1.389
2006-07-07,1.78,1.8349,1.6177,2.0086,1.814,1.57,1.2495,1.3902
2006-07-10,1.763,1.8303,1.5913,1.9963,1.797,1.566,1.2448,1.396
2006-07-11,1.764,1.855,1.6002,2.0068,1.796,1.567,1.2636,1.4087
2006-07-12,1.764,1.871,1.6007,2.0125,1.806,1.579,1.2704,1.4135
2006-07-13,1.705,1.8012,1.5476,1.9414,1.764,1.543,1.2065,1.3601
2006-07-14,1.716,1.8122,1.5479,1.951,1.764,1.541,1.2021,1.3706
2006-07-17,1.721,1.8271,1.5548,1.9565,1.771,1.536,1.2146,1.3827
2006-07-18,1.718,1.8261,1.5541,1.9566,1.767,1.539,1.2187,1.3915
2006-07-19,1.681,1.7805,1.5152,1.9412,1.734,1.516,1.1964,1.3666
2006-07-20,1.685,1.7885,1.5122,1.946,1.74,1.522,1.2043,1.3656
2006-07-21,1.697,1.7966,1.5232,1.9562,1.752,1.53,1.2075,1.3718
2006-07-24,1.708,1.8093,1.5405,1.9598,1.764,1.527,1.1995,1.3812
2006-07-25,1.725,1.8236,1.5535,1.9687,1.78,1.535,1.2097,1.391
2006-07-26,1.717,1.8233,1.5411,1.9634,1.772,1.533,1.2084,1.3868
2006-07-27,1.703,1.8106,1.5246,1.9554,1.763,1.523,1.1879,1.3728
2006-07-28,1.692,1.804,1.5063,1.9437,1.751,1.509,1.1726,1.3648
2006-07-31,1.65,1.7706,1.472,1.9228,1.716,1.478,1.1348,1.3321
2006-08-01,1.639,1.7656,1.457,1.9218,1.714,1.473,1.1192,1.3255
2006-08-02,1.628,1.746,1.4563,1.9165,1.696,1.476,1.1162,1.318
2006-08-03,1.636,1.7354,1.4442,1.9087,1.691,1.474,1.1122,1.3299
2006-08-04,1.608,1.7058,1.423,1.8968,1.662,1.46,1.0939,1.3112
2006-08-07,1.601,1.7005,1.4146,1.8913,1.657,1.445,1.0805,1.2997
2006-08-08,1.625,1.7306,1.4319,1.901,1.674,1.466,1.1001,1.3191
2006-08-09,1.619,1.7267,1.4294,1.8988,1.674,1.463,1.1026,1.32
2006-08-10,1.636,1.742,1.443,1.9038,1.691,1.48,1.1177,1.3332
2006-08-11,1.645,1.7407,1.4452,1.9091,1.697,1.487,1.1166,1.3361
2006-08-14,1.612,1.7066,1.4123,1.8951,1.666,1.472,1.0941,1.3116
2006-08-15,1.628,1.7204,1.4204,1.9008,1.671,1.483,1.103,1.3236
2006-08-16,1.645,1.7388,1.4299,1.9075,1.688,1.495,1.1128,1.3373
2006-08-17,1.637,1.7313,1.4262,1.9021,1.683,1.495,1.1026,1.3291
2006-08-18,1.636,1.7295,1.4252,1.8991,1.682,1.488,1.0996,1.3305
2006-08-21,1.637,1.7369,1.4254,1.9004,1.691,1.485,1.0978,1.3343
2006-08-22,1.654,1.7512,1.4423,1.9112,1.714,1.491,1.1108,1.3412
2006-08-23,1.65,1.7483,1.4446,1.913,1.713,1.492,1.113,1.3393
2006-08-24,1.656,1.7559,1.4572,1.9151,1.733,1.494,1.1221,1.3421
2006-08-25,1.652,1.7589,1.462,1.9185,1.732,1.492,1.1258,1.3422
2006-08-28,1.688,1.7843,1.4824,1.9292,1.754,1.51,1.1434,1.3614
2006-08-29,1.705,1.7897,1.4909,1.9423,1.779,1.511,1.1407,1.3627
2006-08-30,1.711,1.7993,1.492,1.939,1.775,1.512,1.1463,1.3641
2006-08-31,1.713,1.8022,1.4915,1.9409,1.773,1.523,1.1453,1.3671
2006-09-01,1.695,1.7861,1.4732,1.9364,1.766,1.51,1.1305,1.3579
2006-09-04,1.714,1.8043,1.4862,1.9471,1.778,1.515,1.1419,1.3651
2006-09-05,1.717,1.8035,1.4803,1.9493,1.774,1.518,1.1437,1.3599
2006-09-06,1.719,1.8138,1.4803,1.9505,1.781,1.519,1.1511,1.3628
2006-09-07,1.711,1.7975,1.472,1.9439,1.77,1.505,1.1409,1.3574
2006-09-08,1.714,1.7957,1.476,1.9488,1.773,1.502,1.1473,1.3622
2006-09-11,1.716,1.7973,1.4801,1.9479,1.768,1.506,1.1513,1.3677
2006-09-12,1.72,1.8038,1.4793,1.9519,1.763,1.516,1.1622,1.3763
2006-09-13,1.706,1.791,1.4717,1.9488,1.756,1.512,1.1579,1.372
2006-09-14,1.711,1.7931,1.4739,1.9532,1.763,1.51,1.1609,1.3659
2006-09-15,1.72,1.801,1.4862,1.963,1.772,1.531,1.1755,1.3823
2006-09-18,1.732,1.8099,1.4914,1.9677,1.781,1.538,1.1803,1.3842
2006-09-19,1.741,1.8201,1.5098,1.9754,1.794,1.539,1.1792,1.3894
2006-09-20,1.744,1.821,1.5221,1.9811,1.799,1.537,1.1788,1.3887
2006-09-21,1.755,1.8323,1.5365,1.991,1.809,1.543,1.1851,1.3974
2006-09-22,1.75,1.821,1.5353,1.9933,1.811,1.527,1.1802,1.3944
2006-09-25,1.746,1.8081,1.545,1.9987,1.808,1.526,1.1749,1.3935
2006-09-26,1.732,1.7878,1.537,1.9803,1.797,1.521,1.1709,1.3824
2006-09-27,1.74,1.7967,1.5512,1.9883,1.804,1.529,1.1732,1.386
2006-09-28,1.757,1.8129,1.5811,2.0023,1.827,1.546,1.1826,1.3967
2006-09-29,1.771,1.827,1.5882,2.0092,1.838,1.558,1.1959,1.4063
2006-10-09,1.804,1.8513,1.613,2.0368,1.87,1.576,1.2041,1.4236
2006-10-10,1.798,1.8579,1.6236,2.0351,1.87,1.584,1.2137,1.4279
2006-10-11,1.79,1.849,1.6145,2.0318,1.861,1.592,1.2083,1.4273
2006-10-12,1.77,1.8351,1.5754,2.0196,1.846,1.605,1.2112,1.4236
2006-10-13,1.778,1.8317,1.5752,2.0222,1.845,1.604,1.2106,1.4286
2006-10-16,1.746,1.8214,1.5417,1.9981,1.821,1.604,1.2004,1.4209
2006-10-17,1.747,1.8271,1.5376,2.001,1.834,1.599,1.2008,1.4244
2006-10-18,1.772,1.8484,1.5558,2.0173,1.845,1.607,1.2167,1.4414
2006-10-19,1.775,1.8662,1.5696,2.022,1.853,1.612,1.2244,1.4491
2006-10-20,1.776,1.8682,1.5706,2.0283,1.854,1.619,1.2172,1.4466
2006-10-23,1.748,1.8284,1.5491,2.01,1.836,1.59,1.2016,1.4292
2006-10-24,1.778,1.8607,1.577,2.0302,1.851,1.606,1.226,1.4538
2006-10-25,1.795,1.8688,1.5974,2.0491,1.874,1.609,1.2261,1.4554
2006-10-26,1.808,1.8706,1.6071,2.049,1.869,1.621,1.2309,1.4606
2006-10-27,1.784,1.853,1.5878,2.0371,1.845,1.613,1.2222,1.4558
2006-10-30,1.765,1.8434,1.5793,2.0292,1.849,1.643,1.2283,1.4519
2006-10-31,1.78,1.8618,1.5909,2.036,1.856,1.644,1.2435,1.4712
2006-11-01,1.782,1.8634,1.5878,2.0398,1.872,1.653,1.2514,1.4747
2006-11-02,1.785,1.8683,1.5813,2.0289,1.872,1.66,1.2526,1.475
2006-11-03,1.794,1.8852,1.5862,2.0336,1.871,1.658,1.2552,1.4907
2006-11-06,1.799,1.8831,1.5933,2.0367,1.876,1.683,1.2682,1.5024
2006-11-07,1.8,1.8793,1.5929,2.0391,1.878,1.679,1.274,1.5046
2006-11-08,1.789,1.8712,1.5895,2.0457,1.876,1.664,1.2741,1.497
2006-11-09,1.819,1.8991,1.607,2.0631,1.876,1.672,1.287,1.5145
2006-11-10,1.806,1.8793,1.5961,2.0553,1.868,1.654,1.2771,1.4941
2006-11-13,1.783,1.8529,1.5746,2.0365,1.832,1.62,1.2508,1.4757
2006-11-14,1.806,1.8676,1.5894,2.0524,1.855,1.623,1.2674,1.4881
2006-11-15,1.853,1.9142,1.6308,2.0853,1.883,1.659,1.2808,1.518
2006-11-16,1.853,1.9186,1.6493,2.1062,1.899,1.666,1.2685,1.5127
2006-11-17,1.879,1.9472,1.6692,2.1204,1.913,1.691,1.285,1.5322
2006-11-20,1.913,1.9561,1.687,2.1338,1.914,1.701,1.2972,1.5497
2006-11-21,1.919,1.9619,1.6947,2.1427,1.924,1.708,1.3,1.5704
2006-11-22,1.939,1.969,1.706,2.1599,1.951,1.701,1.3132,1.597
2006-11-23,1.942,1.9831,1.7075,2.1595,1.952,1.712,1.3094,1.6056
2006-11-24,1.944,1.9891,1.7015,2.1683,1.985,1.71,1.3081,1.6101
2006-11-27,1.939,1.9983,1.7079,2.1837,2.011,1.727,1.3158,1.6218
2006-11-28,1.938,2.0026,1.7034,2.1911,2.01,1.72,1.3151,1.624
2006-11-29,1.966,2.0459,1.7273,2.2196,2.056,1.75,1.3153,1.6434
2006-11-30,2.027,2.0741,1.7788,2.2547,2.088,1.793,1.3373,1.6795
2006-12-01,2.044,2.0976,1.8,2.2697,2.119,1.797,1.3461,1.6968
2006-12-04,2.079,2.1238,1.8284,2.2881,2.14,1.817,1.3646,1.7257
2006-12-05,2.089,2.1231,1.8402,2.2991,2.149,1.815,1.3591,1.7337
2006-12-06,2.077,2.1192,1.8284,2.2813,2.12,1.8,1.347,1.7286
2006-12-07,2.075,2.0947,1.8214,2.2681,2.087,1.814,1.3536,1.718
2006-12-08,2.025,2.0561,1.7892,2.242,2.062,1.779,1.3094,1.6702
2006-12-11,2.103,2.1127,1.8521,2.2829,2.106,1.817,1.3384,1.7183
2006-12-12,2.119,2.1113,1.8644,2.3046,2.116,1.83,1.3364,1.7317
2006-12-13,2.12,2.1117,1.8686,2.3237,2.135,1.837,1.3387,1.7299
2006-12-14,2.152,2.1539,1.9011,2.3514,2.158,1.851,1.352,1.7422
2006-12-15,2.19,2.1967,1.9438,2.3825,2.212,1.856,1.3691,1.769
2006-12-18,2.257,2.2784,2.0274,2.4417,2.275,1.866,1.3799,1.8023
2006-12-19,2.253,2.2782,2.0206,2.4271,2.25,1.884,1.384,1.8061
2006-12-20,2.26,2.2924,2.036,2.4394,2.269,1.882,1.392,1.8133
2006-12-21,2.234,2.2627,2.0119,2.4193,2.24,1.854,1.3844,1.7974
2006-12-22,2.22,2.2388,1.9984,2.4066,2.224,1.841,1.3761,1.785
2006-12-25,2.27,2.2701,2.0399,2.4355,2.245,1.869,1.3833,1.8105
2006-12-26,2.281,2.2732,2.0488,2.4338,2.228,1.883,1.3761,1.807
2006-12-27,2.329,2.3044,2.0877,2.4599,2.253,1.908,1.3954,1.8321
2006-12-28,2.33,2.3016,2.0855,2.4528,2.245,1.887,1.3898,1.8358
2006-12-29,2.387,2.3378,2.1252,2.4855,2.271,1.939,1.4058,1.8703
2007-01-04,2.404,2.3513,2.1283,2.4833,2.26,1.995,1.4226,1.8829
2007-01-05,2.364,2.3728,2.1099,2.4804,2.262,2.004,1.4388,1.8847
2007-01-08,2.385,2.4014,2.1337,2.5111,2.278,2.024,1.4705,1.9215
2007-01-09,2.454,2.469,2.1901,2.5636,2.32,2.094,1.4967,1.9593
2007-01-10,2.501,2.5035,2.2253,2.5911,2.341,2.134,1.5248,1.9937
2007-01-11,2.484,2.5096,2.2087,2.5962,2.33,2.11,1.5151,1.976
2007-01-12,2.451,2.5193,2.1942,2.5867,2.325,2.067,1.4853,1.9515
2007-01-15,2.549,2.6182,2.2692,2.666,2.339,2.133,1.5342,2.0374
2007-01-16,2.623,2.7031,2.3255,2.7316,2.348,2.139,1.5634,2.0839
2007-01-17,2.568,2.677,2.3085,2.7181,2.342,2.133,1.5545,2.0508
2007-01-18,2.564,2.6626,2.3108,2.7556,2.347,2.121,1.5603,2.0586
2007-01-19,2.626,2.6979,2.3218,2.8272,2.359,2.137,1.6059,2.0985
2007-01-22,2.693,2.7286,2.3374,2.9027,2.37,2.139,1.6401,2.1575
2007-01-23,2.67,2.7044,2.3475,2.8725,2.366,2.139,1.64,2.1656
2007-01-24,2.717,2.7038,2.3569,2.8899,2.37,2.138,1.6412,2.1763
2007-01-25,2.668,2.6842,2.3306,2.8545,2.345,2.132,1.6,2.1143
2007-01-26,2.728,2.6889,2.3501,2.8796,2.368,2.142,1.6265,2.1451
2007-01-29,2.755,2.6915,2.3613,2.8899,2.391,2.147,1.6586,2.1832
2007-01-30,2.736,2.6861,2.3542,2.9002,2.387,2.143,1.6515,2.1581
2007-01-31,2.573,2.6548,2.299,2.7975,2.344,2.109,1.5819,2.0692
2007-02-01,2.587,2.6564,2.2976,2.8128,2.346,2.109,1.5875,2.0709
2007-02-02,2.487,2.6326,2.2587,2.7588,2.305,2.085,1.548,2.0174
2007-02-05,2.44,2.6273,2.2519,2.7235,2.302,2.077,1.5415,2.0163
2007-02-06,2.442,2.6403,2.2629,2.7292,2.327,2.083,1.5674,2.0474
2007-02-07,2.484,2.6641,2.2818,2.7463,2.347,2.098,1.587,2.0779
2007-02-08,2.498,2.6757,2.2925,2.7604,2.366,2.104,1.612,2.0985
2007-02-09,2.478,2.6723,2.2852,2.7497,2.365,2.099,1.6251,2.0956
2007-02-12,2.57,2.7001,2.3164,2.8204,2.393,2.119,1.6615,2.149
2007-02-13,2.603,2.7115,2.3279,2.8486,2.405,2.125,1.6924,2.1846
2007-02-14,2.659,2.7351,2.3491,2.8839,2.429,2.139,1.7223,2.2211
2007-02-15,2.716,2.7609,2.3715,2.9281,2.456,2.155,1.7521,2.278
2007-02-16,2.695,2.7598,2.3756,2.9132,2.462,2.155,1.7537,2.2838
2007-02-26,2.671,2.7558,2.3665,2.8822,2.475,2.151,1.7655,2.2928
2007-02-27,2.453,2.6754,2.2887,2.7148,2.388,2.095,1.6505,2.137
2007-02-28,2.5,2.6953,2.3054,2.7234,2.422,2.106,1.6933,2.1771
2007-03-01,2.445,2.6682,2.28,2.6967,2.398,2.091,1.6529,2.1382
2007-03-02,2.481,2.6803,2.2934,2.7242,2.412,2.098,1.6882,2.1681
2007-03-05,2.445,2.6668,2.2857,2.6969,2.407,2.086,1.6916,2.1564
2007-03-06,2.495,2.6837,2.3018,2.7413,2.415,2.1,1.7154,2.1895
2007-03-07,2.562,2.711,2.3278,2.8002,2.44,2.12,1.7569,2.2336
2007-03-08,2.587,2.7272,2.3376,2.8296,2.454,2.129,1.7878,2.2618
2007-03-09,2.572,2.7194,2.3296,2.8215,2.449,2.125,1.7746,2.2537
2007-03-12,2.57,2.7172,2.328,2.8138,2.439,2.122,1.7918,2.2554
2007-03-13,2.582,2.7278,2.3358,2.8115,2.446,2.127,1.799,2.2535
2007-03-14,2.542,2.7108,2.3208,2.7785,2.43,2.11,1.7774,2.2387
2007-03-15,2.585,2.7261,2.3345,2.8096,2.446,2.122,1.7968,2.2684
2007-03-16,2.554,2.7197,2.3255,2.8005,2.428,2.114,1.7683,2.2544
2007-03-19,2.595,2.7369,2.3408,2.8256,2.457,2.131,1.7874,2.2904
2007-03-20,2.586,2.7362,2.3401,2.8011,2.466,2.131,1.8085,2.2923
2007-03-21,2.598,2.7441,2.3485,2.8029,2.476,2.138,1.8202,2.3036
2007-03-22,2.605,2.744,2.3522,2.8057,2.474,2.145,1.8171,2.3018
2007-03-23,2.601,2.7377,2.3507,2.8037,2.469,2.144,1.8225,2.3037
2007-03-26,2.629,2.7522,2.3605,2.8062,2.481,2.153,1.8435,2.3224
2007-03-27,2.63,2.7531,2.3624,2.8089,2.483,2.15,1.8585,2.3344
2007-03-28,2.636,2.7536,2.3603,2.8139,2.481,2.156,1.8472,2.3265
2007-03-29,2.646,2.7562,2.3573,2.829,2.471,2.162,1.8127,2.3114
2007-03-30,2.643,2.7561,2.3534,2.8156,2.471,2.159,1.8189,2.3224
2007-04-02,2.682,2.7807,2.3751,2.8413,2.496,2.177,1.8452,2.3557
2007-04-03,2.707,2.7942,2.3857,2.8755,2.512,2.186,1.8667,2.3804
2007-04-04,2.73,2.8083,2.3927,2.8905,2.521,2.193,1.8727,2.4088
2007-04-05,2.748,2.8185,2.404,2.9101,2.534,2.202,1.8989,2.4204
2007-04-06,2.753,2.8203,2.4062,2.9138,2.54,2.204,1.9147,2.4193
2007-04-09,2.775,2.8402,2.4187,2.9271,2.558,2.222,1.9442,2.4339
2007-04-10,2.788,2.8514,2.4317,2.9456,2.573,2.233,1.9535,2.4447
2007-04-11,2.81,2.8649,2.4403,2.9633,2.591,2.24,1.9741,2.4603
2007-04-12,2.842,2.8842,2.4565,3.0033,2.604,2.251,2.0164,2.4885
2007-04-13,2.848,2.8911,2.4539,3.0394,2.593,2.252,2.0153,2.4678
2007-04-16,2.903,2.9177,2.4791,3.0932,2.625,2.281,2.0686,2.5
2007-04-17,2.898,2.9156,2.4822,3.0642,2.641,2.274,2.0831,2.5311
2007-04-18,2.901,2.9181,2.4904,3.0501,2.649,2.276,2.0924,2.5431
2007-04-19,2.834,2.8792,2.4478,2.9435,2.605,2.237,2.0368,2.4662
2007-04-20,2.896,2.9157,2.4839,3.0142,2.65,2.271,2.1021,2.535
2007-04-23,2.96,2.9545,2.5162,3.0487,2.689,2.304,2.1644,2.6032
2007-04-24,2.956,2.9592,2.5211,3.0407,2.684,2.307,2.1787,2.6182
2007-04-25,2.953,2.9583,2.5193,3.0319,2.677,2.31,2.1788,2.6054
2007-04-26,2.969,2.967,2.526,3.0502,2.694,2.327,2.1877,2.623
2007-04-27,2.947,2.9541,2.5098,3.0073,2.687,2.317,2.1751,2.5944
2007-04-30,2.986,2.9817,2.5231,3.0613,2.705,2.344,2.212,2.6117
2007-05-08,3.054,3.0172,2.5549,3.105,2.76,2.38,2.2795,2.6819
2007-05-09,3.051,3.009,2.5527,3.0764,2.772,2.377,2.2683,2.6728
2007-05-10,3.056,3.0096,2.5593,3.0583,2.767,2.375,2.2719,2.6882
2007-05-11,3.054,3.0073,2.5491,3.0419,2.754,2.371,2.2455,2.6821
2007-05-14,3.076,3.0255,2.5622,3.0823,2.771,2.387,2.2451,2.7028
2007-05-15,3.006,2.9999,2.5384,3.0403,2.734,2.356,2.1947,2.6537
2007-05-16,3.06,3.0273,2.5623,3.0969,2.763,2.376,2.2277,2.6896
2007-05-17,3.109,3.0645,2.5856,3.1558,2.788,2.401,2.2646,2.722
2007-05-18,3.101,3.072,2.5906,3.1793,2.781,2.404,2.2577,2.7157
2007-05-21,3.119,3.0869,2.6093,3.2172,2.796,2.413,2.2879,2.7348
2007-05-22,3.133,3.0954,2.6158,3.2057,2.8,2.42,2.3123,2.7556
2007-05-23,3.163,3.1146,2.6327,3.2464,2.818,2.44,2.3589,2.7857
2007-05-24,3.141,3.1026,2.621,3.2222,2.818,2.437,2.3427,2.7626
2007-05-25,3.173,3.1217,2.6333,3.2575,2.855,2.457,2.3682,2.7845
2007-05-28,3.224,3.1427,2.6605,3.319,2.897,2.479,2.3916,2.8253
2007-05-29,3.28,3.1776,2.6906,3.3752,2.939,2.504,2.4332,2.8645
2007-05-30,3.14,3.0997,2.6232,3.211,2.868,2.434,2.2961,2.7872
2007-05-31,3.209,3.1259,2.6587,3.32,2.885,2.451,2.2416,2.8246
2007-06-01,3.153,3.0983,2.6348,3.3135,2.844,2.431,2.151,2.7747
2007-06-04,3.004,3.0149,2.5637,3.1649,2.75,2.383,2.0301,2.679
2007-06-05,3.082,3.0533,2.6042,3.1901,2.788,2.418,2.0797,2.7296
2007-06-06,3.114,3.0726,2.6209,3.2017,2.817,2.429,2.0837,2.7567
2007-06-07,3.186,3.1142,2.6529,3.265,2.863,2.446,2.1296,2.8021
2007-06-08,3.205,3.122,2.6605,3.2877,2.889,2.453,2.1479,2.819
2007-06-11,3.265,3.1583,2.6942,3.3757,2.919,2.47,2.1798,2.8561
2007-06-12,3.326,3.1898,2.7252,3.4255,2.953,2.485,2.2137,2.902
2007-06-13,3.367,3.2107,2.74,3.4643,2.973,2.498,2.269,2.9259
2007-06-14,3.343,3.1926,2.7356,3.4691,2.954,2.489,2.2628,2.9076
2007-06-15,3.359,3.1919,2.7492,3.4814,2.966,2.485,2.2576,2.9225
2007-06-18,3.411,3.2293,2.7751,3.547,3.002,2.519,2.3089,2.959
2007-06-19,3.416,3.234,2.7821,3.5286,3.006,2.521,2.3351,2.9708
2007-06-20,3.369,3.2121,2.7611,3.4892,2.967,2.505,2.2868,2.9365
2007-06-21,3.397,3.2276,2.7782,3.5093,2.983,2.532,2.2919,2.9399
2007-06-22,3.322,3.1921,2.7549,3.4657,2.934,2.502,2.2314,2.8976
2007-06-25,3.245,3.1335,2.721,3.4432,2.882,2.47,2.125,2.841
2007-06-26,3.283,3.1455,2.7313,3.4605,2.897,2.484,2.1577,2.8663
2007-06-27,3.353,3.1779,2.761,3.5373,2.94,2.508,2.2076,2.9116
2007-06-28,3.259,3.121,2.7229,3.4495,2.877,2.455,2.1315,2.8509
2007-06-29,3.38,3.0981,2.7031,3.398,2.847,2.428,2.0832,2.8338
2007-07-02,3.339,3.0925,2.6979,3.3734,2.835,2.419,2.0901,2.8326
2007-07-03,3.363,3.1119,2.7131,3.4102,2.87,2.44,2.1134,2.8599
2007-07-04,3.321,3.0959,2.6976,3.3519,2.844,2.42,2.0812,2.8406
2007-07-05,3.207,3.0383,2.6602,3.2408,2.784,2.376,1.9886,2.7709
2007-07-06,3.292,3.0865,2.6885,3.332,2.839,2.424,2.0557,2.8255
2007-07-09,3.366,3.1262,2.7054,3.389,2.876,2.456,2.1015,2.8633
2007-07-10,3.329,3.1102,2.6942,3.3434,2.865,2.456,2.0734,2.8331
2007-07-11,3.339,3.1121,2.6955,3.3327,2.878,2.452,2.0811,2.8456
2007-07-12,3.357,3.1231,2.7011,3.3532,2.886,2.46,2.0918,2.862
2007-07-13,3.362,3.1178,2.7032,3.3559,2.891,2.455,2.0914,2.8684
2007-07-16,3.302,3.0842,2.6871,3.2941,2.856,2.415,2.0459,2.8339
2007-07-17,3.365,3.1179,2.7032,3.3371,2.884,2.45,2.069,2.8637
2007-07-18,3.373,3.124,2.7128,3.341,2.886,2.465,2.0888,2.8685
2007-07-19,3.377,3.1244,2.7111,3.352,2.896,2.474,2.09,2.8722
2007-07-20,3.477,3.1815,2.7444,3.4381,2.953,2.527,2.1511,2.9285
2007-07-23,3.567,3.2233,2.7738,3.5156,3.002,2.579,2.2271,2.9818
2007-07-24,3.577,3.227,2.7739,3.497,3.012,2.582,2.2293,2.9896
2007-07-25,3.631,3.2418,2.7862,3.5085,3.03,2.607,2.2771,3.0129
2007-07-26,3.636,3.2556,2.7927,3.5178,3.046,2.621,2.2934,3.018
2007-07-27,3.658,3.259,2.7928,3.497,3.051,2.612,2.3112,3.0186
2007-07-30,3.716,3.284,2.8086,3.5436,3.085,2.636,2.3513,3.0436
2007-07-31,3.779,3.2946,2.8139,3.5724,3.104,2.653,2.3815,3.0533
2007-08-01,3.704,3.2525,2.7871,3.5078,3.069,2.616,2.3077,3.0113
2007-08-02,3.834,3.3004,2.8125,3.5489,3.129,2.68,2.3713,3.067
2007-08-03,3.963,3.3561,2.8386,3.6441,3.197,2.756,2.4108,3.114
2007-08-06,3.995,3.3811,2.856,3.6886,3.217,2.782,2.454,3.1309
2007-08-07,4.006,3.3804,2.8592,3.7246,3.23,2.79,2.4449,3.1482
2007-08-08,3.94,3.3643,2.8474,3.6937,3.208,2.777,2.415,3.1287
2007-08-09,3.988,3.4002,2.8629,3.7617,3.258,2.827,2.4422,3.1454
2007-08-10,3.935,3.3679,2.8522,3.7217,3.228,2.808,2.4605,3.1147
2007-08-13,3.886,3.3563,2.8529,3.6986,3.197,2.784,2.4638,3.1201
2007-08-14,3.943,3.3818,2.8618,3.7152,3.217,2.8,2.49,3.138
2007-08-15,3.966,3.3913,2.8674,3.7189,3.227,2.815,2.4967,3.1435
2007-08-16,3.912,3.3719,2.8542,3.6752,3.195,2.786,2.4668,3.1131
2007-08-17,3.851,3.3519,2.8379,3.6273,3.157,2.757,2.4304,3.0824
2007-08-20,4.013,3.4208,2.8788,3.7307,3.243,2.842,2.5337,3.153
2007-08-21,4.056,3.445,2.8895,3.7846,3.282,2.868,2.579,3.1739
2007-08-22,4.109,3.4774,2.9011,3.8433,3.311,2.883,2.6054,3.2022
2007-08-23,4.167,3.5121,2.917,3.9074,3.342,2.92,2.6449,3.2299
